motor_burnout = 3.35s					
apogee_time = 12.4s					
apogee = 2620ft = 798.576m					
					
Time (s)	Altitude (ft)	Altitude (m)			
0	0	0			
0.05	1	0.3048			
0.1	0	0			
0.15	1	0.3048			
0.2	0	0			
0.25	-1	-0.3048			
0.3	1	0.3048			
0.35	0	0			
0.4	2	0.6096			
0.45	7	2.1336			
0.5	10	3.048			
0.55	5	1.524			
0.6	10	3.048			
0.65	15	4.572			
0.7	20	6.096			
0.75	22	6.7056			
0.8	28	8.5344			
0.85	34	10.3632			
0.9	44	13.4112			
0.95	55	16.764			
1	66	20.1168			
1.05	75	22.86			
1.1	87	26.5176			
1.15	100	30.48			
1.2	113	34.4424			
1.25	127	38.7096			
1.3	144	43.8912			
1.35	158	48.1584			
1.4	173	52.7304			
1.45	190	57.912			
1.5	210	64.008			
1.55	230	70.104			
1.6	250	76.2			
1.65	272	82.9056			
1.7	292	89.0016			
1.75	315	96.012			
1.8	336	102.4128			
1.85	355	108.204			
1.9	379	115.5192			
1.95	401	122.2248			
2	426	129.8448			
2.05	450	137.16			
2.1	474	144.4752			
2.15	494	150.5712			
2.2	515	156.972			
2.25	540	164.592			
2.3	564	171.9072			
2.35	587	178.9176			
2.4	610	185.928			
2.45	634	193.2432			
2.5	659	200.8632			
2.55	682	207.8736			
2.6	707	215.4936			
2.65	730	222.504			
2.7	751	228.9048			
2.75	774	235.9152			
2.8	794	242.0112			
2.85	813	247.8024			
2.9	835	254.508			
2.95	855	260.604			
3	874	266.3952			
3.05	897	273.4056			
3.1	918	279.8064			
3.15	937	285.5976			
3.2	958	291.9984			
3.25	978	298.0944			
3.3	999	304.4952			
3.35	1020	310.896			
3.4	1039	316.6872			
3.45	1058	322.4784			
3.5	1077	328.2696			
3.55	1098	334.6704			
3.6	1117	340.4616			
3.65	1136	346.2528			
3.7	1155	352.044			
3.75	1170	356.616			
3.8	1187	361.7976			
3.85	1203	366.6744			
3.9	1220	371.856			
3.95	1236	376.7328			
4	1254	382.2192			
4.05	1273	388.0104			
4.1	1289	392.8872			
4.15	1308	398.6784			
4.2	1323	403.2504			
4.25	1341	408.7368			
4.3	1359	414.2232			
4.35	1377	419.7096			
